wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ016,2182.841309,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ066,2183.387939,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,IAZ043,1818.06897,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ030,1755.239014,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ051,1970.181396,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,IAZ091,1416.511475,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ043,1071.776611,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,IAZ090,1297.358643,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ053,625.8294678,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ092,1139.270142,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,IAZ056,1497.278076,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ045,1003.601318,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ078,1526.630493,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,IAZ055,1772.521484,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,IAZ080,1087.724854,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ044,1399.791626,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ015,996.6748657,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-25 21:26,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ045,1003.601318,2009-12-25 21:26,,,,,FALSE,,,,,,
OAX,2009-12-25 06:00,2009-12-26 10:36,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ042,1789.009033,2009-12-26 10:36,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-26 10:36,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ065,1474.37793,2009-12-26 10:36,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-25 21:26,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,IAZ079,1121.359253,2009-12-25 21:26,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-26 10:36,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ044,1399.791626,2009-12-26 10:36,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-25 21:26,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,IAZ080,1087.724854,2009-12-25 21:26,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-26 10:36,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ051,1970.181396,2009-12-26 10:36,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-25 21:26,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ053,625.8294678,2009-12-25 21:26,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-25 21:26,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ068,1594.483643,2009-12-25 21:26,,,,,FALSE,,,,,,
OAX,2009-12-25 03:37,2009-12-26 10:36,2009-12-25 03:37,200912261200,BZ,C,W,3,CAN,NEZ078,1526.630493,2009-12-26 10:36,,,,,FALSE,,,,,,
OAX,2009-12-24 23:26,2009-12-26 10:36,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ015,996.6748657,2009-12-26 10:36,,,,,FALSE,,,,,,
OAX,2009-12-24 23:26,2009-12-25 21:26,2009-12-24 23:26,200912261200,BZ,C,W,3,CAN,IAZ056,1497.278076,2009-12-25 21:26,,,,,FALSE,,,,,,
OAX,2009-12-24 23:26,2009-12-26 10:36,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ033,1508.45105,2009-12-26 10:36,,,,,FALSE,,,,,,
OAX,2009-12-25 06:00,2009-12-26 10:36,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ018,1118.937256,2009-12-26 10:36,,,,,FALSE,,,,,,
OAX,2009-12-25 06:00,2009-12-26 18:00,2009-12-24 22:00,200912261200,BZ,C,W,3,EXP,NEZ016,2182.841309,2009-12-26 18:17,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-25 21:26,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,IAZ055,1772.521484,2009-12-25 21:26,,,,,FALSE,,,,,,
OAX,2009-12-25 06:00,2009-12-26 10:36,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ017,1509.834473,2009-12-26 10:36,,,,,FALSE,,,,,,
OAX,2009-12-25 06:00,2009-12-26 18:00,2009-12-24 22:00,200912261200,BZ,C,W,3,EXP,NEZ030,1755.239014,2009-12-26 18:17,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-26 10:36,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ034,1249.579224,2009-12-26 10:36,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-25 21:26,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ092,1139.270142,2009-12-25 21:26,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-26 10:36,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ050,1532.804688,2009-12-26 10:36,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-25 21:26,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,IAZ069,2464.052734,2009-12-25 21:26,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-26 10:36,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ043,1071.776611,2009-12-26 10:36,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-25 21:26,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ067,1407.550537,2009-12-25 21:26,,,,,FALSE,,,,,,
OAX,2009-12-24 23:26,2009-12-25 21:26,2009-12-24 23:26,200912261200,BZ,C,W,3,CAN,IAZ043,1818.06897,2009-12-25 21:26,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-25 21:26,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ091,1046.92627,2009-12-25 21:26,,,,,FALSE,,,,,,
OAX,2009-12-25 06:00,2009-12-26 18:00,2009-12-24 22:00,200912261200,BZ,C,W,3,EXP,NEZ011,2989.198242,2009-12-26 18:17,,,,,FALSE,,,,,,
OAX,2009-12-25 06:00,2009-12-26 10:36,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ031,1496.980713,2009-12-26 10:36,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-25 21:26,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,IAZ091,1416.511475,2009-12-25 21:26,,,,,FALSE,,,,,,
OAX,2009-12-25 06:00,2009-12-26 10:36,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ032,1098.628174,2009-12-26 10:36,,,,,FALSE,,,,,,
OAX,2009-12-25 03:37,2009-12-26 10:36,2009-12-25 03:37,200912261200,BZ,C,W,3,CAN,NEZ088,1495.647217,2009-12-26 10:36,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-26 10:36,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ066,2183.387939,2009-12-26 10:36,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-25 21:26,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ090,992.4835815,2009-12-25 21:26,,,,,FALSE,,,,,,
OAX,2009-12-25 06:00,2009-12-26 10:36,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ012,1939.082275,2009-12-26 10:36,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-25 21:26,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ052,891.8168335,2009-12-25 21:26,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-26 10:36,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ089,2269.815674,2009-12-26 10:36,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-25 21:26,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,IAZ090,1297.358643,2009-12-25 21:26,,,,,FALSE,,,,,,
OAX,2009-12-24 22:00,2009-12-25 21:26,2009-12-24 22:00,200912261200,BZ,C,W,3,CAN,NEZ093,1472.619995,2009-12-25 21:26,,,,,FALSE,,,,,,
OAX,2010-01-25 16:02,2010-01-26 03:00,2010-01-25 16:02,201001260300,BZ,C,W,1,EXP,IAZ055,1772.521484,2010-01-26 02:47,,,,,FALSE,,,,,,
OAX,2010-01-25 16:02,2010-01-26 03:00,2010-01-25 16:02,201001260300,BZ,C,W,1,EXP,IAZ056,1497.278076,2010-01-26 02:47,,,,,FALSE,,,,,,
OAX,2010-01-25 16:02,2010-01-26 03:00,2010-01-25 16:02,201001260300,BZ,C,W,1,EXP,IAZ069,2464.052734,2010-01-26 02:47,,,,,FALSE,,,,,,
OAX,2010-01-25 16:02,2010-01-26 03:00,2010-01-25 16:02,201001260300,BZ,C,W,1,EXP,IAZ043,1818.06897,2010-01-26 02:47,,,,,FALSE,,,,,,
OAX,2010-02-14 15:09,2010-02-14 21:00,2010-02-14 15:09,201002142100,BZ,C,W,2,EXP,NEZ030,1755.239014,2010-02-14 20:52,,,,,FALSE,,,,,,
OAX,2010-02-14 15:09,2010-02-14 21:00,2010-02-14 15:09,201002142100,BZ,C,W,2,EXP,NEZ042,1789.009033,2010-02-14 20:52,,,,,FALSE,,,,,,
OAX,2010-02-14 15:09,2010-02-14 21:00,2010-02-14 15:09,201002142100,BZ,C,W,2,EXP,NEZ065,1474.37793,2010-02-14 20:52,,,,,FALSE,,,,,,
